date,open,high,low,close,volume,amount
2021-10-22,2015.765,2030.397,2011.888,2018.852,538000390,9404562600.0
2021-10-25,2020.09,2028.431,2015.547,2028.065,471474530,8622135700.0
2021-10-26,2019.515,2027.692,2003.834,2009.143,484794260,9396425400.0
2021-10-27,2005.544,2005.544,1949.082,1954.252,492901120,9304311800.0
2021-10-28,1945.382,1955.668,1936.851,1938.084,405419110,8936995700.0
2021-10-29,1938.15,1974.612,1932.015,1972.29,422058420,9238752900.0
2021-11-01,1973.014,1987.118,1964.328,1986.591,501943970,12566171900.0
2021-11-02,1984.503,1994.399,1941.694,1954.442,514323350,10748678800.0
2021-11-03,1960.035,1995.19,1960.035,1995.19,470895730,10086818400.0
2021-11-04,1991.623,2005.641,1985.815,2004.758,522801330,13781038000.0
2021-11-05,2003.388,2014.771,1998.191,2001.893,484000960,10214330400.0
2021-11-08,1999.348,1999.959,1975.783,1987.834,416337080,11248068000.0
2021-11-09,1990.075,2016.451,1989.495,2015.148,410992410,9287140500.0
2021-11-10,2017.691,2033.263,1992.59,2032.736,439437200,10250840400.0
2021-11-11,2027.441,2039.022,2021.287,2036.185,430608740,9629062200.0
2021-11-12,2035.511,2035.511,2024.429,2032.65,422283970,7713478200.0
2021-11-15,2035.735,2074.754,2035.037,2073.934,516432400,10375909800.0
2021-11-16,2071.182,2091.279,2069.085,2080.728,511933500,11859439800.0
2021-11-17,2080.688,2098.289,2073.503,2094.058,408566710,9553216300.0
2021-11-18,2092.055,2092.055,2062.2,2062.2,507759630,9682156200.0
2021-11-19,2059.048,2074.082,2053.856,2073.169,363692820,7493561000.0
2021-11-22,2074.93,2079.866,2062.19,2075.54,443757550,9094779200.0
2021-11-23,2074.977,2085.761,2069.177,2082.475,436443480,9122378900.0
2021-11-24,2085.743,2100.667,2070.105,2097.062,511642650,10480273400.0
2021-11-25,2100.72,2135.352,2100.032,2130.94,667550560,11866510900.0
2021-11-26,2130.026,2130.371,2098.471,2102.266,609581430,13665207000.0
2021-11-29,2113.619,2152.037,2106.562,2122.833,785385400,17501463000.0
2021-11-30,2114.711,2151.371,2103.398,2148.312,720707420,15246728000.0
2021-12-01,2140.326,2140.326,2119.431,2120.293,570673890,12714962400.0
2021-12-02,2121.764,2138.457,2107.324,2108.767,571504140,11760504500.0
2021-12-03,2102.721,2108.53,2090.843,2104.195,486737730,9173669900.0
2021-12-06,2105.109,2105.885,2064.687,2066.777,458792860,9718916700.0
2021-12-07,2068.379,2081.503,2053.339,2066.082,438760940,8739358300.0
2021-12-08,2070.801,2077.055,2063.279,2077.055,473418050,8685694200.0
2021-12-09,2079.928,2109.892,2078.724,2107.447,647798800,12193717600.0
2021-12-10,2104.036,2107.285,2097.555,2103.671,505163460,9206720600.0
2021-12-13,2104.148,2116.244,2099.324,2101.993,464287130,9739594900.0
2021-12-14,2105.077,2132.071,2103.891,2131.219,529984860,11107384900.0
2021-12-15,2132.603,2140.589,2112.856,2113.981,559592480,14049585000.0
2021-12-16,2109.657,2121.509,2101.569,2110.763,494139450,16819941000.0
2021-12-17,2109.815,2116.198,2100.962,2110.111,503626740,13912303000.0
2021-12-20,2105.517,2146.489,2105.513,2117.932,795863600,17087401000.0
2021-12-21,2112.922,2133.541,2108.025,2132.839,739345880,11685845600.0
2021-12-22,2142.251,2157.228,2136.848,2149.531,791262850,11222838300.0
2021-12-23,2152.483,2152.93,2125.928,2127.767,694842490,9936589300.0
2021-12-24,2123.484,2163.649,2114.17,2151.492,922701090,12810031700.0
2021-12-27,2150.175,2197.376,2148.734,2187.595,977290220,12182502200.0
2021-12-28,2184.978,2192.837,2162.743,2180.423,801295980,13653315000.0
2021-12-29,2176.426,2232.538,2170.095,2216.963,1021146770,13796390000.0
2021-12-30,2210.361,2237.123,2194.188,2231.323,957908940,12190289000.0
2021-12-31,2229.014,2270.915,2228.941,2264.289,1130464410,14276797000.0
2022-01-04,2276.709,2302.676,2276.709,2284.857,1387181100,22897257000.0
2022-01-05,2283.314,2283.314,2215.546,2226.348,1415740400,18575642000.0
2022-01-06,2218.796,2252.863,2210.67,2251.019,1221169620,15646549000.0
2022-01-07,2246.277,2276.931,2229.998,2234.231,1140663120,17708737000.0
2022-01-10,2251.179,2291.544,2244.823,2291.544,940281740,18288729000.0
2022-01-11,2289.966,2328.232,2280.831,2309.949,1166980140,20733410000.0
2022-01-12,2306.514,2351.818,2290.353,2335.652,1332878390,22223558000.0
2022-01-13,2330.774,2346.246,2296.011,2298.973,1512886100,23415395000.0
2022-01-14,2282.174,2407.415,2280.055,2393.62,1731012100,30415838000.0
2022-01-17,2392.695,2392.695,2344.439,2385.281,1463574500,27944662000.0
2022-01-18,2359.89,2359.89,2260.828,2261.279,1328577740,22911812000.0
2022-01-19,2239.263,2269.003,2236.405,2247.849,910102310,17447313000.0
2022-01-20,2244.17,2259.442,2189.679,2192.59,1193708150,16823188000.0
2022-01-21,2173.914,2173.914,2129.0,2131.024,965583500,15873648000.0
2022-01-24,2111.758,2123.757,2103.009,2107.099,690191590,11142066200.0
2022-01-25,2096.979,2106.601,2008.959,2009.73,826583710,11510837900.0
2022-01-26,2012.814,2032.982,1979.615,1995.756,572965980,10444953600.0
2022-01-27,1999.404,2007.991,1939.609,1940.985,592740750,9979779700.0
2022-01-28,1947.98,1983.59,1929.316,1966.782,596828500,8882273300.0
2022-02-07,1994.245,2002.472,1979.871,1995.037,595167680,8539056200.0
2022-02-08,1993.369,2020.79,1983.624,2020.703,544289410,10517167600.0
2022-02-09,2022.048,2045.687,2006.884,2044.096,565729970,11989361200.0
2022-02-10,2044.878,2054.746,2032.5,2045.601,743934010,14221055000.0
2022-02-11,2034.114,2034.114,1982.459,1986.464,748808030,13538753000.0
2022-02-14,1968.691,2006.505,1967.621,1994.747,629516960,10697788700.0
2022-02-15,1999.864,2027.645,1985.647,2022.171,742369520,13541479000.0
2022-02-16,2026.711,2048.794,2024.199,2041.388,748905590,13605371000.0
2022-02-17,2044.567,2044.567,2023.567,2027.766,650983140,10329475000.0
2022-02-18,2017.22,2054.922,2012.414,2051.759,640018060,9776577100.0
2022-02-21,2064.421,2116.154,2062.843,2115.92,852292770,11886634800.0
2022-02-22,2098.683,2098.81,2056.919,2065.414,926807670,11783776800.0
2022-02-23,2068.556,2098.342,2068.519,2096.133,781195020,10278347200.0
2022-02-24,2085.718,2108.987,2011.226,2035.841,1020757920,13980610000.0
2022-02-25,2047.696,2089.521,2047.696,2087.625,825025910,14574276000.0
2022-02-28,2090.301,2102.162,2055.298,2101.084,875885550,13003649900.0
2022-03-01,2095.743,2102.784,2077.625,2095.681,802944670,11249382300.0
2022-03-02,2085.805,2119.02,2074.56,2111.273,801589580,11580160200.0
2022-03-03,2117.671,2126.277,2099.931,2114.613,905346590,12330206700.0
2022-03-04,2109.021,2166.735,2103.278,2129.185,1011963920,13775932000.0
2022-03-07,2129.779,2134.485,2083.056,2092.376,958787770,13232322400.0
2022-03-08,2085.861,2085.861,1975.275,1977.825,1226910690,14708413000.0
2022-03-09,1972.909,1988.956,1857.121,1928.429,1249697160,15074084000.0
2022-03-10,1974.149,2038.233,1974.149,2036.973,1288634370,17691188000.0
