date,open,high,low,close,volume
2002-05-31,3059.358,3073.502,3032.225,3037.001,324492546
2002-06-03,3028.026,3028.026,2972.318,2978.961,372276971
2002-06-04,2987.508,3018.502,2972.802,3010.459,368762540
2002-06-05,3009.972,3010.38,2962.076,2964.014,370285597
2002-06-06,2958.855,3092.849,2948.713,3073.673,656899298
2002-06-07,3073.175,3106.72,3046.538,3083.291,816465113
2002-06-10,3081.783,3085.901,3058.59,3068.686,450137677
2002-06-11,3069.541,3090.774,3063.907,3079.752,427581954
2002-06-12,3082.288,3085.014,3044.976,3071.087,348720034
2002-06-13,3070.605,3081.335,3042.017,3046.883,397800047
2002-06-14,3041.045,3041.069,3018.861,3023.21,343881974
2002-06-17,3011.4,3022.756,3000.425,3022.017,265288564
2002-06-18,3024.038,3081.846,3024.038,3076.092,503050823
2002-06-19,3078.34,3079.976,3039.819,3045.522,325010006
2002-06-20,3045.334,3078.013,3045.334,3062.744,424560825
2002-06-21,3063.643,3193.825,3063.272,3180.942,1391505126
2002-06-24,3481.119,3488.337,3372.789,3478.121,3321915163
2002-06-25,3564.975,3575.868,3478.649,3496.397,2988688936
2002-06-26,3479.28,3532.035,3453.82,3507.505,1779403842
2002-06-27,3506.953,3543.122,3490.459,3522.941,1239491511
2002-06-28,3522.909,3559.394,3509.719,3551.328,1296937678
2002-07-01,3556.528,3564.063,3515.217,3519.3,781363916
2002-07-02,3512.558,3547.558,3489.087,3546.517,773619424
2002-07-03,3552.585,3578.895,3538.898,3568.013,814155476
2002-07-04,3574.632,3586.059,3520.202,3521.709,914541944
2002-07-05,3521.709,3538.295,3489.679,3537.313,454029630
2002-07-08,3540.875,3558.981,3527.3,3547.956,723577985
2002-07-09,3552.419,3562.437,3527.464,3533.893,666703339
2002-07-10,3533.689,3541.772,3457.915,3460.202,693247848
2002-07-11,3447.742,3482.848,3442.898,3456.781,565520048
2002-07-12,3456.953,3469.433,3446.669,3454.431,462234594
2002-07-15,3451.043,3452.933,3417.673,3423.982,476547539
